	Col_NS_rep1.bam	Col_NS_rep2.bam	Col_NS_rep3.bam	Col0HS1.bam	Col0HS2.bam	Col0HS3.bam	Col0Stinkbug1.bam	Col0Stinkbug2.bam	Col0Stinkbug3.bam	Col0T2H1.bam	Col0T2H2.bam	Col0T2H3.bam	Cvi0Control1.bam	Cvi0Control2.bam	Cvi0Control3.bam	Cvi0T2H1.bam	Cvi0T2H2.bam	Cvi0T2H3.bam	hda6Control1.bam	hda6Control2.bam	hda6Control3.bam	hda6T2H1.bam	hda6T2H2.bam	hda6T2H3.bam
AT1G30814	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0
AT1G78930	116	127	93	146	96	117	60	66	66	63	89	141	117	116	128	162	100	70	101	86	80	88	84	92
AT1G71695	5421	5699	5272	1542	1436	1530	1462	1671	1350	1942	1907	2028	1949	2238	2590	1381	2004	1634	2666	2559	2668	1943	2122	2077
AT1G58983	5753	5644	5543	1746	2227	1987	1478	1649	1381	2315	2288	2088	858	720	859	361	619	653	3588	3043	3473	2770	2714	2879
AT1G12980	3	1	2	8	24	1	0	3	0	1	2	2	3	1	1	2	0	0	2	1	10	1	2	1
AT1G45223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56250	19	27	46	35	19	27	2680	1545	3116	456	495	326	91	89	68	815	618	860	11	4	5	485	571	611
AT1G66852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69810	351	361	372	249	395	284	322	189	240	313	298	340	288	274	299	341	431	285	485	436	439	534	572	485
AT1G72450	672	747	855	141	268	133	1227	956	1119	705	649	610	1557	1519	1471	845	1662	1564	898	687	796	750	745	1024
AT1G76280	628	616	467	403	303	294	342	274	244	369	347	331	398	344	412	306	445	300	480	441	539	304	349	321
AT1G65630	2	1	3	3	0	0	0	0	0	0	0	2	3	1	1	0	1	0	1	1	1	0	1	4
AT1G71390	0	1	0	0	2	1	0	1	1	0	0	0	2	4	7	4	0	5	1	3	1	1	0	2
AT1G56233	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2
AT1G15210	1721	1362	1190	797	1004	933	1391	933	1134	1317	1151	939	995	1047	1054	1057	817	757	2665	2427	2662	1707	1784	1750
AT1G15250	282	417	364	166	180	148	117	187	123	202	251	223	183	186	183	90	150	151	322	301	213	269	297	316
AT1G79700	222	327	332	75	94	46	389	365	450	154	217	175	261	359	231	111	122	152	188	200	162	278	273	224
AT1G62895	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0
AT1G73360	271	235	175	103	29	55	131	82	50	98	112	132	136	75	92	66	68	45	155	124	122	73	78	80
AT1G16360	13	17	11	4	14	2	6	15	5	6	9	4	13	2	20	3	10	10	24	7	4	17	10	18
AT1G10225	0	0	0	22	7	11	0	1	0	2	2	2	1	2	1	0	0	0	2	10	1	4	4	5
AT1G26670	1428	1675	2006	1371	1354	994	1555	1251	1439	1287	1203	1066	1279	1410	1427	947	1242	1091	1326	1045	1349	1267	1389	1376
AT1G34855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G52200	467	539	674	385	447	333	1547	658	1741	377	342	419	957	1172	1023	1325	1140	1693	622	540	739	853	689	945
AT1G57800	2	0	4	3	4	15	2	0	0	5	2	0	4	10	8	2	6	2	55	27	55	30	33	44
AT1G69460	1237	1445	1441	1020	1082	1028	931	1064	1086	1239	1358	1100	1682	1388	1587	928	1457	1496	1502	1297	1430	1293	1360	1361
AT1G04310	341	383	319	90	135	95	470	398	441	187	158	175	174	169	145	108	156	101	182	157	162	197	192	204
AT1G08080	1	0	0	0	0	0	1	4	5	0	0	1	1	0	4	0	1	4	0	0	1	0	1	5
AT1G75550	36	47	39	12	24	15	41	25	27	44	27	33	73	46	68	23	26	24	78	87	57	94	58	50
AT1G71890	45	53	45	5	0	3	57	43	59	87	124	130	66	61	55	34	60	62	113	132	97	201	252	167
AT1G05430	692	821	821	507	569	502	398	423	429	587	471	523	538	522	621	351	532	521	649	587	556	521	538	562
AT1G80870	659	700	582	154	194	150	251	284	242	237	283	369	497	447	564	281	388	293	457	382	351	350	282	313
AT1G75310	1373	1227	1077	503	565	602	940	911	1065	840	810	815	1024	1024	1071	752	884	735	991	803	941	874	961	822
AT1G02010	425	472	362	76	79	104	181	219	210	207	194	228	243	192	216	172	170	169	228	315	345	174	197	177
AT1G47900	2195	1975	1813	540	525	724	650	643	670	919	1065	1032	788	618	802	545	811	680	1122	1120	1208	872	948	847
AT1G14315	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0
AT1G26760	221	213	209	27	21	19	107	50	47	64	66	82	64	85	70	25	35	52	132	87	146	94	86	82
AT1G05250	403	412	408	249	538	354	560	380	565	318	251	273	446	626	721	305	406	361	969	679	911	1027	886	1317
AT1G67260	13	21	18	3	27	8	0	0	2	17	2	6	0	3	1	6	0	1	16	5	11	7	7	10
