"","sample","genotype","treatment"
"Col_NS_rep1","Col_NS_rep1","Col0","NS"
"Col_NS_rep2","Col_NS_rep2","Col0","NS"
"Col_NS_rep3","Col_NS_rep3","Col0","NS"
"Col0HS1","Col0HS1","Col0","HS"
"Col0HS2","Col0HS2","Col0","HS"
"Col0HS3","Col0HS3","Col0","HS"
"Col0Stinkbug1","Col0Stinkbug1","Col0","Stinkbug"
"Col0Stinkbug2","Col0Stinkbug2","Col0","Stinkbug"
"Col0Stinkbug3","Col0Stinkbug3","Col0","Stinkbug"
"Col0T2H1","Col0T2H1","Col0","T2H"
"Col0T2H2","Col0T2H2","Col0","T2H"
"Col0T2H3","Col0T2H3","Col0","T2H"
"Cvi0Control1","Cvi0Control1","Cvi0","Control"
"Cvi0Control2","Cvi0Control2","Cvi0","Control"
"Cvi0Control3","Cvi0Control3","Cvi0","Control"
"Cvi0T2H1","Cvi0T2H1","Cvi0","T2H"
"Cvi0T2H2","Cvi0T2H2","Cvi0","T2H"
"Cvi0T2H3","Cvi0T2H3","Cvi0","T2H"
"hda6Control1","hda6Control1","hda6","Control"
"hda6Control2","hda6Control2","hda6","Control"
"hda6Control3","hda6Control3","hda6","Control"
"hda6T2H1","hda6T2H1","hda6","T2H"
"hda6T2H2","hda6T2H2","hda6","T2H"
"hda6T2H3","hda6T2H3","hda6","T2H"
